brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
포25(PHO25),0,0,0,0,0,0,276119,18535
큰집아저씨,2018,6,0,0,0,0,7,0
청담족발,2023,14,14,0,0,0,1112478,46351
화씨이육공,2023,2,1,0,0,0,0,0
박공헤어,0,0,0,0,0,0,246978089,10028547
공브라더스,0,0,0,0,0,0,243746,2664
배터지는갈비,0,0,0,0,0,0,644065,10903
시카고뷰티랩,2022,2,2,2,2023,2,4,2
옵티마,2023,852,12,0,1,1,841,0
바론떡볶이,2016,1,1,0,0,0,0,0
이태리국시 (Italy guksi),2019,2,1,0,0,2,0,0
한가네숯불닭갈비,0,0,0,0,0,0,411290,14169
골든튤립,0,0,0,0,0,0,5064846,8747182
해이슬치킨,2015,2016,0,2,0,4,88897,4344
김치볶음밥잘볶는집,2023,78,78,0,0,0,58963,4446
악동통큰떡볶이,0,0,0,0,0,0,1,0
몽키스비어,2019,9,0,2,0,0,192631,10689
국밥집 막내아들,2023,3,3,0,0,0,57016,5702
쉬림진,2019,3,1,0,0,0,0,0
분식대장,2023,0,0,1,0,0,2,1
카페 오디디오,2023,2,0,0,0,0,180000,14400
카페희다,2023,23,4,12,2,0,212561,10199
타블도트(TABLE DHOTE)컨템포러리라운지,0,0,0,0,0,0,218504,5293
홍익궁중전통육개장,0,0,0,0,0,0,294904,6886
예술치킨(artchicken),0,0,0,0,0,0,453162,30059
롯데마켓999(LOTTE market999),2017,42,5,7,2,4,703351,18584
해골피자(HAEGOAL PIZZA),0,0,0,0,0,0,84126,7606
곱창집,2021,0,0,0,0,0,344531,11880
피자베이,2023,20,2,0,7,1,295881,22975
정정아식당,0,0,0,0,0,0,341291,8495
좋은습관 PT STUDIO,0,0,0,0,0,0,429301,8586
